title,subtitle,release_year,genre,duration,maturity_rating,IMDb_rating,rotten_tomatoes_rating,meta_critic_rating,indie_wire_rating,vudu_rating,letterboxd_rating,fandor_rating,film_affinity_rating,trakt_rating,apple_rating,class_movie_rating,ringos_rating,french_films_rating,original_film_rating,allmovie_rating,bluray_rating,movie_insider_rating,reelviews_rating,p_google_likes,box_office,release_date,directors,awards,film_series,producers,budget
The 13th Letter,NA,NA,NA,NA,NA,6.4,86,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 19, 1951 (USA)",Director: Otto Preminger,NA,NA,Producer: Otto Preminger,NA
Abbott and Costello Meet the Invisible Man,NA,NA,NA,NA,NA,6.8,80,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1.55 million USD (US rentals),NA,Director: Charles Lamont,NA,Abbott and Costello,NA,NA
Abilene Trail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Lewis D. Collins,NA,NA,Producer: Vincent M. Fennelly,NA
According to Mrs. Hoyle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Jean Yarbrough,NA,NA,Producer: Barney Gerard,NA
Ace in the Hole,NA,NA,NA,NA,NA,8.1,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,"June 29, 1951 (USA)",Director: Billy Wilder,"National Board of Review Award for Best Actress, International Award, International Award for Best Score",NA,NA,NA
Across the Wide Missouri,NA,NA,NA,NA,NA,6.2,38,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,Director: William A. Wellman,NA,NA,NA,NA
Adventures of Captain Fabian,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,2.9,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"William Marshall, Robert Florey",NA,NA,"William Marshall, Robert Dorfmann",NA
The African Queen,PG 1951 ‧ Adventure/War ‧ 1h 46m,1951,Adventure/War,1h 46m,PG,7.7,98,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,"February 20, 1952 (USA)",Director: John Huston,Academy Award for Best Actor in a Leading Role,NA,NA,NA
Air Cadet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Joseph Pevney,NA,NA,NA,NA
Al Jennings of Oklahoma,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Ray Nazarro,NA,NA,NA,NA
Alice in Wonderland,G 1951 ‧ Fantasy/Family ‧ 1h 15m,1951,Fantasy/Family,1h 15m,G,7.4,81,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"5.6 million USD (US, 1951)","July 26, 1951 (USA)","Clyde Geronimi, Hamilton Luske, Wilfred Jackson",NA,NA,NA,NA
Along the Great Divide,NA,NA,NA,NA,NA,6.9,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1.4 million USD (US rentals),"June 2, 1951 (USA)",Director: Raoul Walsh,NA,NA,NA,NA
An American in Paris,NA,NA,NA,NA,NA,7.2,96,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,"November 11, 1951 (USA)",Director: Vincente Minnelli,"Academy Award for Best Picture,",NA,NA,NA
Angels in the Outfield,NA,NA,NA,NA,NA,7.1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1.666 million USD,NA,Director: Clarence Brown,NA,NA,NA,NA
Anne of the Indies,NA,NA,NA,NA,NA,6.7,58,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1.55 million USD (US rentals),"October 18, 1951 (USA)",Director: Jacques Tourneur,NA,NA,NA,NA
