title,subtitle,release_year,genre,duration,maturity_rating,IMDb_rating,rotten_tomatoes_rating,meta_critic_rating,indie_wire_rating,vudu_rating,letterboxd_rating,fandor_rating,film_affinity_rating,trakt_rating,apple_rating,class_movie_rating,ringos_rating,french_films_rating,original_film_rating,allmovie_rating,bluray_rating,movie_insider_rating,reelviews_rating,p_google_likes,box_office,release_date,directors,awards,film_series,producers,budget
Another Man's Poison,NA,NA,NA,NA,NA,6.9,62,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Irving Rapper,NA,NA,"Douglas Fairbanks Jr., Daniel M. Angel",NA
Apache Drums,NA,NA,NA,NA,NA,6.4,22,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1.4 million USD (US rentals),April 1951 (USA),Director: Hugo Fregonese,NA,NA,Producer: Val Lewton,NA
Appointment with Danger,NA,NA,NA,NA,NA,6.6,32,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1.45 million USD (US rentals),"May 9, 1951 (USA)",Director: Lewis Allen,NA,NA,Producer: Robert Fellows,NA
Arizona Manhunt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Fred C. Brannon,NA,NA,Producer: Rudy Ralston,NA
As Young as You Feel,NA,NA,NA,NA,NA,6.4,47,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,Director: Harmon Jones,NA,NA,Producer: Lamar Trotti,NA
As You Were,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Bernard Girard,NA,NA,Producer: Hal Roach Jr.,NA
Badman's Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert Emmett Tansey,NA,NA,"Jack Schwarz, Robert Emmett Tansey",NA
Bannerline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"457,000 USD",NA,Director: Don Weis,NA,NA,NA,NA
The Barefoot Mailman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Earl McEvoy,NA,NA,NA,NA
The Basketball Fix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Felix E. Feist,NA,NA,Producer: Edward Leven,NA
Bedtime for Bonzo,NA,NA,NA,NA,NA,5.4,67,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,"April 5, 1951 (USA)",Director: Fred de Cordova,NA,Bedtime for Bonzo,NA,NA
Behave Yourself!,NA,NA,NA,NA,NA,5.6,40,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1 million USD (US rentals),NA,Director: George Beck,NA,NA,"Norman Krasna, Jerry Wald",NA
Belle Le Grand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Allan Dwan,NA,NA,Producer: Herbert J. Yates,NA
Best of the Badmen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,"August 9, 1951 (USA)",Director: William D. Russell,NA,NA,"Samuel Bischoff, Herman Schlom",NA
The Big Gusher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Lew Landers,NA,NA,Producer: Wallace MacDonald,NA
The Big Night,NA,NA,NA,NA,NA,6.3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,Director: Joseph Losey,NA,NA,Producer: Philip A. Waxman,NA
Bird of Paradise,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1.65 million USD (US rentals),NA,Director: Delmer Daves,NA,NA,NA,NA
Blazing Bullets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Wallace Fox,NA,NA,Producer: Vincent M. Fennelly,NA
Blue Blood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 28, 1951 (USA)",Director: Lew Landers,NA,NA,Producer: Ben Schwalb,NA
The Blue Veil,NA,NA,NA,NA,NA,7.1,67,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,3.55 million USD,NA,Director: Curtis Bernhardt,Golden Globe Award for Best Actress – Motion Picture – Drama,NA,NA,NA
Bonanza Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Fred F. Sears,NA,NA,Producer: Colbert Clark,NA
Bowery Battalion,NA,NA,NA,NA,NA,6.4,NA,NA,NA,3.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William Beaudine,NA,Live Wires,Producer: Jan Grippo,NA
The Brave Bulls,NA,NA,NA,NA,NA,6.2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert Rossen,NA,NA,Producer: Robert Rossen,NA
Bride of the Gorilla,NA,NA,NA,NA,NA,4.4,40,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Curt Siodmak,NA,NA,"Jack Broder, Edward Leven",NA
Bright Victory,NA,NA,NA,NA,NA,7.3,82,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"July 16, 1951 (Los Angeles)",Director: Mark Robson,"Golden Globe Award for Best Screenplay - Motion Picture,",NA,NA,NA
Buckaroo Sheriff of Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Philip Ford,NA,NA,Producer: Rudy Ralston,NA
Bullfighter and the Lady,NA,NA,NA,NA,NA,6.7,64,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,Director: Budd Boetticher,NA,NA,"Budd Boetticher, John Wayne",NA
Callaway Went Thataway,NA,NA,NA,NA,NA,6.5,22,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.338 million USD,NA,"Norman Panama, Melvin Frank",NA,NA,NA,NA
Call Me Mister,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.175 million USD (US rentals),NA,Director: Lloyd Bacon,NA,NA,Producer: Fred Kohlmar,NA
Canyon Raiders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Lewis D. Collins,NA,NA,Producer: Vincent M. Fennelly,NA
Captain Horatio Hornblower,NA,NA,NA,NA,NA,7.3,100,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Raoul Walsh,NA,NA,NA,3 million USD
Casa Manana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Jean Yarbrough,NA,NA,Producer: Lindsley Parsons,NA
Cattle Drive,NA,NA,NA,NA,NA,6.5,33,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,Director: Kurt Neumann,NA,NA,Producer: Aaron Rosenberg,NA
Cattle Queen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert Emmett Tansey,NA,NA,"Jack Schwarz, Johnny Carpenter, Jack Seaman",NA
Cause for Alarm!,NA,NA,NA,NA,NA,6.5,30,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"768,000 USD","March 30, 1951 (New York)",Director: Tay Garnett,NA,NA,NA,NA
Cavalry Scout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Lesley Selander,NA,NA,Producer: Walter Mirisch,NA
Cave of Outlaws,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,Director: William Castle,NA,NA,Producer: Leonard Goldstein,NA
Chain of Circumstance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Will Jason,NA,NA,Producer: Wallace MacDonald,NA
Chained for Life,NA,NA,NA,NA,NA,4.2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Harry Fraser,NA,NA,Producer: George Moskov,NA
Chicago Calling,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: John Reinhardt,NA,NA,Producer: Peter Berneis,NA
China Corsair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Ray Nazarro,NA,NA,Producer: Rudolph C. Flothow,NA
Close to My Heart,NA,NA,NA,NA,NA,6.5,75,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,October 1951 (USA),Director: William Keighley,NA,NA,Producer: William Jacobs,NA
Colorado Ambush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Lewis D. Collins,NA,NA,Producer: Vincent M. Fennelly,NA
Come Fill the Cup,NA,NA,NA,NA,NA,6.9,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,Director: Gordon Douglas,NA,NA,Producer: Henry Blanke,NA
Comin' Round the Mountain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55 million USD (US rentals),NA,Director: Charles Lamont,NA,Abbott and Costello,NA,"648,000 USD"
The Company She Keeps,NA,NA,NA,NA,NA,6.4,30,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: John Cromwell,NA,NA,Producer: John Houseman,NA
Corky of Gasoline Alley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Edward Bernds,NA,NA,Producer: Wallace MacDonald,NA
Crazy Over Horses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William Beaudine,NA,Live Wires,Producer: Jerry Thomas,NA
Criminal Lawyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Seymour Friedman,NA,NA,NA,NA
Crosswinds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25 million USD (US rentals),NA,Director: Lewis R. Foster,NA,NA,"William H. Pine, William C. Thomas",NA
Cry Danger,NA,NA,NA,NA,NA,7.3,83,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"February 3, 1951 (USA)",Director: Robert Parrish,NA,NA,"W.R. Frank, Sam Wiesenthal",NA
Cuban Fireball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William Beaudine,NA,NA,Producer: Sidney Picker,NA
Cyclone Fury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Ray Nazarro,NA,NA,Producer: Colbert Clark,NA
The Dakota Kid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July 1, 1951 (USA)",Director: Philip Ford,NA,NA,Producer: Rudy Ralston,NA
Danger Zone,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,3.4,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William Berke,NA,NA,Producer: William Berke,NA
"Darling, How Could You!",NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Mitchell Leisen,NA,NA,NA,NA
David and Bathsheba,NA,NA,NA,NA,NA,6.1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,Director: Henry King,NA,NA,NA,NA
The Day the Earth Stood Still,G 1951 ‧ Sci-fi/Drama ‧ 1h 34m,1951,Sci-fi/Drama,1h 34m,G,7.7,95,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"September 28, 1951 (USA)",Director: Robert Wise,NA,NA,NA,NA
Dear Brat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William A. Seiter,NA,NA,Producer: Mel Epstein,NA
Death of a Salesman,NA,NA,NA,NA,NA,7.2,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: László Benedek,"Golden Globe Award for Best Cinematography - Black and White,",NA,NA,NA
Decision Before Dawn,NA,NA,NA,NA,NA,7.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,"December 21, 1951 (USA)",Director: Anatole Litvak,NA,NA,"Anatole Litvak, Frank McCarthy",NA
The Desert Fox: The Story of Rommel,NA,NA,NA,NA,NA,6.9,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,"October 17, 1951 (USA)",Director: Henry Hathaway,NA,NA,NA,NA
Desert of Lost Men,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Harry Keller,NA,NA,Producer: Harry Keller,NA
Detective Story,NA,NA,NA,NA,NA,7.6,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"November 6, 1951 (USA)",Director: William Wyler,"Cannes Best Actress Award, Edgar Award for Best Motion Picture Screenplay",NA,NA,NA
Dick Turpin's Ride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Ralph Murphy,NA,NA,Producer: Harry Joe Brown,NA
Disc Jockey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Will Jason,NA,NA,NA,NA
Distant Drums,NA,NA,NA,NA,NA,6.5,43,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,Director: Raoul Walsh,NA,NA,NA,NA
Double Crossbones,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,3.2,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April 26, 1951 (USA)",Director: Charles Barton,NA,NA,Producer: Leonard Goldstein,NA
Double Dynamite,NA,NA,NA,NA,NA,5.9,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,"December 25, 1951 (USA)",Director: Irving Cummings,NA,NA,"Irving Cummings, Irving Cummings Jr., Irwin Allen",NA
Drums in the Deep South,NA,NA,NA,NA,NA,5.8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,Director: William Cameron Menzies,NA,NA,NA,NA
Elephant Stampede,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Ford Beebe,NA,NA,Producer: Walter Mirisch,NA
Elopement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 million USD (US rentals),NA,Director: Henry Koster,NA,NA,Producer: Fred Kohlmar,NA
The Enforcer,NA,NA,NA,NA,NA,7.3,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2.873 million USD,"February 24, 1951 (USA)",Director: Bretaigne Windust,NA,NA,NA,NA
Excuse My Dust,G 1951 ‧ Musical/Comedy ‧ 1h 22m,1951,Musical/Comedy,1h 22m,G,6.1,17,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.298 million USD,NA,"Roy Rowland, Edward Sedgwick, Buster Keaton",NA,NA,NA,NA
FBI Girl,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,3.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: William Berke,NA,NA,Producer: William Berke,NA
The Family Secret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Henry Levin,NA,NA,Producer: Robert Lord,NA
Father's Little Dividend,NA,NA,NA,NA,NA,6.6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,4.622 million USD,NA,Director: Vincente Minnelli,Writers Guild of America Award for Best Written Comedy,NA,NA,NA
Father Takes the Air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 17, 1951 (USA)",Director: Frank McDonald,NA,NA,Producer: Peter Scully,NA
The Fat Man,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,Director: William Castle,NA,NA,Producer: Aubrey Schenck,NA
Fighting Coast Guard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Joseph Kane,NA,NA,NA,NA
Little Big Horn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500,000 USD",NA,Director: Charles Marquis Warren,NA,NA,NA,NA
Fingerprints Don't Lie,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Sam Newfield,NA,NA,Producer: Sigmund Neufeld,NA
The First Legion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April 27, 1951 (USA)",Director: Douglas Sirk,NA,NA,Producer: Douglas Sirk,NA
Five,NA,NA,NA,NA,NA,6.3,63,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April 25, 1951 (USA)",Director: Arch Oboler,NA,NA,NA,NA
Fixed Bayonets!,NA,NA,NA,NA,NA,6.9,100,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1.45 million USD (US rentals),NA,Director: Samuel Fuller,NA,NA,Producer: Jules Buck,NA
Flame of Araby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5 million USD (US rentals),NA,Director: Charles Lamont,NA,NA,Producer: Leonard Goldstein,NA
Flame of Stamboul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March 5, 1951 (USA)",Director: Ray Nazarro,NA,NA,Producer: Wallace MacDonald,NA
Flight to Mars,NA,NA,NA,NA,NA,5.2,22,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,Director: Lesley Selander,NA,NA,Producer: Walter Mirisch,NA
Flying Leathernecks,NA,NA,NA,NA,NA,6.5,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2.6 million USD (U.S. rentals),"August 28, 1951 (USA)",Director: Nicholas Ray,NA,NA,"Edmund Grainger, Howard Hughes",NA
Follow the Sun,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1.15 million USD (US rentals),NA,Director: Sidney Lanfield,NA,NA,NA,NA
Footlight Varieties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. W. Griffith, Benjamin Stoloff, Hal Yates",NA,NA,Producer: George Bilson,NA
Force of Arms,NA,NA,NA,NA,NA,6.5,44,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1.2 million USD (US rentals),NA,Director: Michael Curtiz,NA,NA,Producer: Anthony Veiller,NA
